Image_Path,Concentration_Level
original_patches/patch_0.png,0
original_patches/patch_1.png,0
original_patches/patch_10.png,1
original_patches/patch_11.png,0
original_patches/patch_12.png,3
original_patches/patch_13.png,0
original_patches/patch_14.png,0
original_patches/patch_15.png,3
original_patches/patch_16.png,0
original_patches/patch_17.png,3
original_patches/patch_18.png,2
original_patches/patch_19.png,0
original_patches/patch_2.png,2
original_patches/patch_20.png,0
original_patches/patch_21.png,0
original_patches/patch_22.png,0
original_patches/patch_23.png,2
original_patches/patch_24.png,0
original_patches/patch_25.png,1
original_patches/patch_26.png,1
original_patches/patch_27.png,3
original_patches/patch_28.png,0
original_patches/patch_29.png,0
original_patches/patch_3.png,2
original_patches/patch_30.png,2
original_patches/patch_31.png,3
original_patches/patch_32.png,1
original_patches/patch_33.png,0
original_patches/patch_34.png,1
original_patches/patch_35.png,0
original_patches/patch_36.png,2
original_patches/patch_37.png,0
original_patches/patch_38.png,0
original_patches/patch_39.png,2
original_patches/patch_4.png,0
original_patches/patch_40.png,0
original_patches/patch_41.png,0
original_patches/patch_42.png,1
original_patches/patch_43.png,0
original_patches/patch_44.png,0
original_patches/patch_45.png,3
original_patches/patch_46.png,3
original_patches/patch_47.png,0
original_patches/patch_48.png,1
original_patches/patch_49.png,3
original_patches/patch_5.png,0
original_patches/patch_50.png,3
original_patches/patch_51.png,0
original_patches/patch_52.png,3
original_patches/patch_53.png,2
original_patches/patch_54.png,0
original_patches/patch_55.png,1
original_patches/patch_56.png,0
original_patches/patch_57.png,0
original_patches/patch_58.png,2
original_patches/patch_59.png,0
original_patches/patch_6.png,2
original_patches/patch_60.png,0
original_patches/patch_61.png,0
original_patches/patch_7.png,1
original_patches/patch_8.png,0
original_patches/patch_9.png,1
augmented_images/augmented_0_1.png,0
augmented_images/augmented_0_2.png,0
augmented_images/augmented_0_3.png,0
augmented_images/augmented_0_4.png,0
augmented_images/augmented_0_5.png,0
augmented_images/augmented_0_6.png,0
augmented_images/augmented_0_7.png,0
augmented_images/augmented_0_8.png,0
augmented_images/augmented_10_1.png,1
augmented_images/augmented_10_2.png,1
augmented_images/augmented_10_3.png,1
augmented_images/augmented_10_4.png,1
augmented_images/augmented_10_5.png,1
augmented_images/augmented_10_6.png,1
augmented_images/augmented_10_7.png,1
augmented_images/augmented_10_8.png,1
augmented_images/augmented_11_1.png,0
augmented_images/augmented_11_2.png,0
augmented_images/augmented_11_3.png,0
augmented_images/augmented_11_4.png,0
augmented_images/augmented_11_5.png,0
augmented_images/augmented_11_6.png,0
augmented_images/augmented_11_7.png,0
